Mach,delta_deg,Cnd,Cmd
0.1,0,0,0
0.1,2,0.146,-0.531
0.1,4,0.297,-1.077
0.1,6,0.449,-1.631
0.1,8,0.603,-2.189
0.1,10,0.733,-2.659
0.1,12,0.822,-2.983
0.1,14,0.911,-3.306
0.1,16,0.929,-3.373
0.1,18,0.901,-3.27
0.1,20,0.914,-3.317
0.2,0,0,0
0.2,2,0.148,-0.537
0.2,4,0.299,-1.086
0.2,6,0.453,-1.644
0.2,8,0.604,-2.193
0.2,10,0.73,-2.649
0.2,12,0.817,-2.964
0.2,14,0.892,-3.236
0.2,16,0.916,-3.325
0.2,18,0.914,-3.316
0.2,20,0.94,-3.41
0.3,0,0,0
0.3,2,0.151,-0.547
0.3,4,0.304,-1.103
0.3,6,0.46,-1.668
0.3,8,0.609,-2.209
0.3,10,0.729,-2.646
0.3,12,0.818,-2.969
0.3,14,0.881,-3.197
0.3,16,0.911,-3.306
0.3,18,0.936,-3.398
0.3,20,0.98,-3.558
0.4,0,0,0
0.4,2,0.155,-0.563
0.4,4,0.312,-1.133
0.4,6,0.471,-1.711
0.4,8,0.621,-2.256
0.4,10,0.74,-2.686
0.4,12,0.835,-3.031
0.4,14,0.894,-3.244
0.4,16,0.927,-3.365
0.4,18,0.97,-3.52
0.4,20,1.026,-3.723
0.5,0,0,0
0.5,2,0.162,-0.586
0.5,4,0.325,-1.18
0.5,6,0.49,-1.778
0.5,8,0.644,-2.338
0.5,10,0.765,-2.777
0.5,12,0.867,-3.147
0.5,14,0.928,-3.367
0.5,16,0.967,-3.509
0.5,18,1.02,-3.701
0.5,20,1.082,-3.926
0.6,0,0,0
0.6,2,0.171,-0.62
0.6,4,0.342,-1.243
0.6,6,0.515,-1.869
0.6,8,0.671,-2.434
0.6,10,0.789,-2.863
0.6,12,0.897,-3.257
0.6,14,0.97,-3.519
0.6,16,1.027,-3.727
0.6,18,1.102,-3.999
0.6,20,1.18,-4.282
0.7,0,0,0
0.7,2,0.203,-0.737
0.7,4,0.413,-1.498
0.7,6,0.627,-2.276
0.7,8,0.848,-3.077
0.7,10,1.049,-3.808
0.7,12,1.212,-4.4
0.7,14,1.317,-4.78
0.7,16,1.425,-5.171
0.7,18,1.506,-5.465
0.7,20,1.537,-5.58
0.8,0,0,0
0.8,2,0.228,-0.827
0.8,4,0.461,-1.675
0.8,6,0.698,-2.535
0.8,8,0.94,-3.413
0.8,10,1.162,-4.218
0.8,12,1.346,-4.884
0.8,14,1.471,-5.34
0.8,16,1.598,-5.8
0.8,18,1.697,-6.161
0.8,20,1.747,-6.341
0.9,0,0,0
0.9,2,0.266,-0.967
0.9,4,0.537,-1.95
0.9,6,0.81,-2.94
0.9,8,1.086,-3.942
0.9,10,1.341,-4.866
0.9,12,1.556,-5.647
0.9,14,1.712,-6.214
0.9,16,1.867,-6.777
0.9,18,1.993,-7.234
0.9,20,2.068,-7.506
1,0,0,0
1,2,0.399,-1.447
1,4,0.8,-2.905
1,6,1.202,-4.362
1,8,1.604,-5.823
1,10,1.978,-7.179
1,12,2.301,-8.35
1,14,2.548,-9.25
1,16,2.791,-10.131
1,18,2.994,-10.868
1,20,3.132,-11.368
