Mach,alpha_deg,def_pitch,Cnd,Cmd
0.3,0.0,0.0,0.0,0.0
0.3,2.0,2.0,0.1312,-0.8252
0.3,4.0,4.0,0.2653,-1.669
0.3,5.0,5.0,0.000318,-0.001279
0.3,8.0,8.0,0.5373,-3.382
0.3,10.0,10.0,-0.0002311,0.002342
0.3,12.0,12.0,0.8066,-5.077
0.3,15.0,15.0,-0.0002097,0.001337
0.3,16.0,16.0,1.067,-6.71
0.3,20.0,20.0,1.3,-8.165
0.5,0.0,0.0,0.0,0.0
0.5,2.0,2.0,0.1381,-0.8761
0.5,4.0,4.0,0.2799,-1.777
0.5,5.0,5.0,0.0002802,-0.0008497
0.5,8.0,8.0,0.5681,-3.606
0.5,10.0,10.0,-0.0002065,0.002218
0.5,12.0,12.0,0.854,-5.418
0.5,15.0,15.0,-0.000259,0.001418
0.5,16.0,16.0,1.087,-6.869
0.5,20.0,20.0,1.273,-7.996
0.8,0.0,0.0,0.0,0.0
0.8,2.0,2.0,0.1691,-1.119
0.8,4.0,4.0,0.2676,-1.878
0.8,5.0,5.0,-0.0001885,0.002857
0.8,8.0,8.0,0.7175,-4.75
0.8,10.0,10.0,-0.0002152,0.002303
0.8,12.0,12.0,1.047,-6.906
0.8,15.0,15.0,-0.001815,0.01261
0.8,16.0,16.0,1.272,-8.342
0.8,20.0,20.0,1.449,-9.449
1.2,0.0,0.0,0.0,0.0
1.2,2.0,2.0,0.1304,-0.9179
1.2,4.0,4.0,0.2676,-1.878
1.2,5.0,5.0,-0.0001013,0.001504
1.2,8.0,8.0,0.5471,-3.831
1.2,10.0,10.0,9.166e-05,0.0009889
1.2,12.0,12.0,0.804,-5.605
1.2,15.0,15.0,0.0005539,-0.005612
1.2,16.0,16.0,1.026,-7.113
1.2,20.0,20.0,1.204,-8.301
2.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,0.06599,-0.4645
2.0,4.0,4.0,0.1335,-0.9417
2.0,5.0,5.0,-5.949e-06,0.0005042
2.0,8.0,8.0,0.2692,-1.898
2.0,10.0,10.0,-1.046e-05,-0.0003567
2.0,12.0,12.0,0.4012,-2.833
2.0,15.0,15.0,6.651e-05,-0.00149
2.0,16.0,16.0,0.5309,-3.751
2.0,20.0,20.0,0.66,-4.667
3.0,0.0,0.0,0.0,0.0
3.0,2.0,2.0,0.04447,-0.3124
3.0,4.0,4.0,0.09032,-0.631
3.0,5.0,5.0,9.175e-05,0.0001005
3.0,8.0,8.0,0.1849,-1.295
3.0,10.0,10.0,0.0001763,-0.000969
3.0,12.0,12.0,0.28,-1.963
3.0,15.0,15.0,0.0002039,-0.002854
3.0,16.0,16.0,0.3744,-2.625
3.0,20.0,20.0,0.4679,-3.287
5.0,0.0,0.0,0.0,0.0
5.0,2.0,2.0,0.03177,-0.2203
5.0,4.0,4.0,0.06588,-0.4588
5.0,5.0,5.0,0.000473,-0.002618
5.0,8.0,8.0,0.1393,-0.9701
5.0,10.0,10.0,-0.000333,0.00167
5.0,12.0,12.0,0.2193,-1.528
5.0,15.0,15.0,-0.0002108,0.001599
5.0,16.0,16.0,0.3047,-2.125
5.0,20.0,20.0,0.3911,-2.733
7.0,0.0,0.0,0.0,0.0
7.0,2.0,2.0,0.02913,-0.2017
7.0,4.0,4.0,0.0598,-0.4165
7.0,5.0,5.0,0.000237,-0.0009132
7.0,8.0,8.0,0.128,-0.8894
7.0,10.0,10.0,-0.0006303,0.003605
7.0,12.0,12.0,0.2065,-1.438
7.0,15.0,15.0,0.0002536,-0.0009747
7.0,16.0,16.0,0.295,-2.056
7.0,20.0,20.0,0.3882,-2.71
9.0,0.0,0.0,0.0,0.0
9.0,2.0,2.0,0.0284,-0.1967
9.0,4.0,4.0,0.05743,-0.3981
9.0,5.0,5.0,0.0002108,-0.000503
9.0,8.0,8.0,0.125,-0.8668
9.0,10.0,10.0,-0.000335,0.0013
9.0,12.0,12.0,0.204,-1.418
9.0,15.0,15.0,0.000202,4.85e-05
9.0,16.0,16.0,0.2964,-2.065
9.0,20.0,20.0,0.3947,-2.755
11.0,0.0,0.0,0.0,0.0
11.0,2.0,2.0,0.02748,-0.1907
11.0,4.0,4.0,0.05618,-0.3902
11.0,5.0,5.0,0.0006218,-0.004264
11.0,8.0,8.0,0.1228,-0.8503
11.0,10.0,10.0,-0.0003853,0.001619
11.0,12.0,12.0,0.2024,-1.404
11.0,15.0,15.0,0.0004754,-0.002734
11.0,16.0,16.0,0.2963,-2.061
11.0,20.0,20.0,0.3981,-2.776
13.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
