Mach,alpha_deg,Cn_delta,Cm_delta
0.3,-20,-3.02,-3.02
0.3,-16,-2.416,-2.416
0.3,-12,-1.772,-1.772
0.3,-8,-1.145,-1.145
0.3,-4,-0.607,-0.607
0.3,0,0,0
0.3,4,0.607,0.607
0.3,8,1.145,1.145
0.3,12,1.772,1.772
0.3,16,2.416,2.416
0.3,20,3.02,3.02
0.5,-20,-3.02,-3.062
0.5,-16,-2.416,-2.408
0.5,-12,-1.772,-1.762
0.5,-8,-1.145,-1.176
0.5,-4,-0.607,-0.615
0.5,0,0,0
0.5,4,0.607,0.615
0.5,8,1.145,1.176
0.5,12,1.772,1.762
0.5,16,2.416,2.408
0.5,20,3.02,3.062
0.8,-20,-3.02,-3.607
0.8,-16,-2.416,-2.822
0.8,-12,-1.772,-2.042
0.8,-8,-1.145,-1.333
0.8,-4,-0.607,-0.627
0.8,0,0,0
0.8,4,0.607,0.627
0.8,8,1.145,1.333
0.8,12,1.772,2.042
0.8,16,2.416,2.822
0.8,20,3.02,3.607
1.2,-20,-3.02,-4.27
1.2,-16,-2.416,-3.416
1.2,-12,-1.772,-2.562
1.2,-8,-1.145,-1.708
1.2,-4,-0.607,-0.857
1.2,0,0,0
1.2,4,0.607,0.857
1.2,8,1.145,1.708
1.2,12,1.772,2.562
1.2,16,2.416,3.416
1.2,20,3.02,4.27
1.5,-20,-3.02,-3.206
1.5,-16,-2.416,-2.565
1.5,-12,-1.772,-1.854
1.5,-8,-1.145,-1.282
1.5,-4,-0.607,-0.645
1.5,0,0,0
1.5,4,0.607,0.645
1.5,8,1.145,1.282
1.5,12,1.772,1.854
1.5,16,2.416,2.565
1.5,20,3.02,3.206
2,-20,-3.02,-2.176
2,-16,-2.416,-1.741
2,-12,-1.772,-1.295
2,-8,-1.145,-0.871
2,-4,-0.607,-0.439
2,0,0,0
2,4,0.607,0.439
2,8,1.145,0.871
2,12,1.772,1.295
2,16,2.416,1.741
2,20,3.02,2.176
3,-20,-3.02,-1.092
3,-16,-2.416,-0.871
3,-12,-1.772,-0.655
3,-8,-1.145,-0.428
3,-4,-0.607,-0.217
3,0,0,0
3,4,0.607,0.217
3,8,1.145,0.428
3,12,1.772,0.655
3,16,2.416,0.871
3,20,3.02,1.092
4,-20,-3.02,-0.595
4,-16,-2.416,-0.475
4,-12,-1.772,-0.366
4,-8,-1.145,-0.238
4,-4,-0.607,-0.121
4,0,0,0
4,4,0.607,0.121
4,8,1.145,0.238
4,12,1.772,0.366
4,16,2.416,0.475
4,20,3.02,0.595
5,-20,-3.02,-0.424
5,-16,-2.416,-0.338
5,-12,-1.772,-0.249
5,-8,-1.145,-0.161
5,-4,-0.607,-0.083
5,0,0,0
5,4,0.607,0.083
5,8,1.145,0.161
5,12,1.772,0.249
5,16,2.416,0.338
5,20,3.02,0.424
6,-20,-3.02,-0.322
6,-16,-2.416,-0.257
6,-12,-1.772,-0.196
6,-8,-1.145,-0.126
6,-4,-0.607,-0.06
6,0,0,0
6,4,0.607,0.06
6,8,1.145,0.126
6,12,1.772,0.196
6,16,2.416,0.257
6,20,3.02,0.322
7,-20,-3.02,-0.273
7,-16,-2.416,-0.216
7,-12,-1.772,-0.16
7,-8,-1.145,-0.101
7,-4,-0.607,-0.046
7,0,0,0
7,4,0.607,0.046
7,8,1.145,0.101
7,12,1.772,0.16
7,16,2.416,0.216
7,20,3.02,0.273
8,-20,-3.02,-0.246
8,-16,-2.416,-0.19
8,-12,-1.772,-0.137
8,-8,-1.145,-0.084
8,-4,-0.607,-0.04
8,0,0,0
8,4,0.607,0.04
8,8,1.145,0.084
8,12,1.772,0.137
8,16,2.416,0.19
8,20,3.02,0.246
