Mach,delta_deg,Ch_delta,Cb_delta,Ch_alpha,Cb_alpha
4,4,-0.000709319,0.038152106,0.01,0.015
4,8,-0.001052793,0.077949157,0.01,0.015
4,12,-0.000972672,0.121186987,0.01,0.015
4,20,-0.000389216,0.214953807,0.01,0.015
5,4,-0.001068169,0.034187152,0.012,0.018
5,8,-0.001939579,0.069932514,0.012,0.018
5,12,-0.002156386,0.110088381,0.012,0.018
5,20,-0.001598628,0.204578851,0.012,0.018
6,4,-0.001226803,0.032233674,0.015,0.022
6,8,-0.002123402,0.066376457,0.015,0.022
6,12,-0.002603299,0.105451237,0.015,0.022
6,20,-0.001564968,0.200714543,0.015,0.022
7,4,-0.00114775,0.031166406,0.018,0.027
7,8,-0.002027398,0.064995419,0.018,0.027
7,12,-0.002175603,0.103501928,0.018,0.027
7,20,-0.0005648,0.200119574,0.018,0.027
8,4,-0.000938949,0.030641436,0.02,0.03
8,8,-0.001624481,0.064264931,0.02,0.03
8,12,-0.001592487,0.102914335,0.02,0.03
8,20,0.000678439,0.201236458,0.02,0.03
3,4,-0.00075207,0.030324966,0.02,0.03
3,8,-0.001387789,0.063912836,0.02,0.03
3,12,-0.001020126,0.102569363,0.02,0.03
3,20,0.001686442,0.202408135,0.02,0.03
