Mach,alpha_deg,CNd,CMd
3.0,-20.0,0.254,-0.386
3.0,-16.0,0.206,-0.309
3.0,-12.0,0.154,-0.232
3.0,-8.0,0.102,-0.154
3.0,-4.0,0.050,-0.074
3.0,0.0,0.000,0.000
3.0,4.0,0.050,-0.074
3.0,8.0,0.102,-0.154
3.0,12.0,0.154,-0.232
3.0,16.0,0.206,-0.309
3.0,20.0,0.254,-0.386
4.0,-20.0,0.197,-0.315
4.0,-16.0,0.161,-0.249
4.0,-12.0,0.122,-0.185
4.0,-8.0,0.082,-0.121
4.0,-4.0,0.039,-0.058
4.0,0.0,0.000,0.000
4.0,4.0,0.039,-0.058
4.0,8.0,0.082,-0.121
4.0,12.0,0.122,-0.185
4.0,16.0,0.161,-0.249
4.0,20.0,0.197,-0.315
5.0,-20.0,0.169,-0.273
5.0,-16.0,0.139,-0.218
5.0,-12.0,0.107,-0.162
5.0,-8.0,0.071,-0.103
5.0,-4.0,0.033,-0.050
5.0,0.0,0.000,0.000
5.0,4.0,0.033,-0.050
5.0,8.0,0.071,-0.103
5.0,12.0,0.107,-0.162
5.0,16.0,0.139,-0.218
5.0,20.0,0.169,-0.273
6.0,-20.0,0.152,-0.262
6.0,-16.0,0.129,-0.206
6.0,-12.0,0.101,-0.151
6.0,-8.0,0.066,-0.093
6.0,-4.0,0.030,-0.046
6.0,0.0,0.000,0.000
6.0,4.0,0.030,-0.046
6.0,8.0,0.066,-0.093
6.0,12.0,0.101,-0.151
6.0,16.0,0.129,-0.206
6.0,20.0,0.152,-0.262
7.0,-20.0,0.146,-0.263
7.0,-16.0,0.125,-0.207
7.0,-12.0,0.097,-0.146
7.0,-8.0,0.061,-0.088
7.0,-4.0,0.028,-0.043
7.0,0.0,0.000,0.000
7.0,4.0,0.028,-0.043
7.0,8.0,0.061,-0.088
7.0,12.0,0.097,-0.146
7.0,16.0,0.125,-0.207
7.0,20.0,0.146,-0.263
8.0,-20.0,0.147,-0.264
8.0,-16.0,0.124,-0.207
8.0,-12.0,0.095,-0.144
8.0,-8.0,0.060,-0.085
8.0,-4.0,0.027,-0.042
8.0,0.0,0.000,0.000
8.0,4.0,0.027,-0.042
8.0,8.0,0.060,-0.085
8.0,12.0,0.095,-0.144
8.0,16.0,0.124,-0.207
8.0,20.0,0.147,-0.264
