Mach,alpha_deg,def_deg,Cn_delta,Cm_delta,Cl_delta,CH_delta
0.3,0,0,0,0,0,0
0.3,0,2,-0.07121,0.322264,-0.07121,-0.003
0.3,0,4,-0.17241,0.783924,-0.17241,-0.005
0.3,0,8,-0.40086,1.827224,-0.40086,-0.007
0.3,0,12,-0.63746,2.907814,-0.63746,-0.008
0.3,0,16,-0.84749,3.860766,-0.84749,-0.009
0.3,0,20,-0.97608,4.436462,-0.97608,-0.011
0.5,0,0,0,0,0,0
0.5,0,2,-0.08284,0.376706,-0.08284,-0.003
0.5,0,4,-0.19242,0.878408,-0.19242,-0.005
0.5,0,8,-0.4364,1.99662,-0.4364,-0.007
0.5,0,12,-0.67961,3.109864,-0.67961,-0.008
0.5,0,16,-0.82741,3.772874,-0.82741,-0.009
0.5,0,20,-1.00575,4.58616,-1.00575,-0.011
0.8,0,0,0,0,0,0
0.8,0,2,-0.11965,0.55238,-0.11965,-0.0035
0.8,0,4,-0.26814,1.243116,-0.26814,-0.006
0.8,0,8,-0.59509,2.764066,-0.59509,-0.008
0.8,0,12,-0.85643,3.975492,-0.85643,-0.0085
0.8,0,16,-1.03676,4.802094,-1.03676,-0.009
0.8,0,20,-1.18092,5.458238,-1.18092,-0.011
1.2,0,0,0,0,0,0
1.2,0,2,-0.117,0.56154,-0.117,-0.004
1.2,0,4,-0.24732,1.185868,-0.24732,-0.006
1.2,0,8,-0.50366,2.414934,-0.50366,-0.008
1.2,0,12,-0.73472,3.517268,-0.73472,-0.0085
1.2,0,16,-0.92764,4.431356,-0.92764,-0.009
1.2,0,20,-1.09031,5.192764,-1.09031,-0.011
2,0,0,0,0,0,0
2,0,2,-0.05027,0.240038,-0.05027,-0.004
2,0,4,-0.10558,0.504872,-0.10558,-0.006
2,0,8,-0.21419,1.027556,-0.21419,-0.008
2,0,12,-0.31992,1.537168,-0.31992,-0.0085
2,0,16,-0.42575,2.04657,-0.42575,-0.009
2,0,20,-0.36361,1.740154,-0.36361,-0.011
3,0,0,0,0,0,0
3,0,2,-0.03677,0.174328,-0.03677,-0.004536
3,0,4,-0.07404,0.352356,-0.07404,-0.007121
3,0,8,-0.14744,0.703326,-0.14744,-0.008716
3,0,12,-0.21842,1.042398,-0.21842,-0.008628
3,0,16,-0.29113,1.391092,-0.29113,-0.00934
3,0,20,-0.27809,1.321536,-0.27809,-0.011615
5,0,0,0,0,0,0
5,0,2,-0.02628,0.124862,-0.02628,-0.006191
5,0,4,-0.05241,0.249434,-0.05241,-0.009941
5,0,8,-0.106,0.50379,-0.106,-0.013021
5,0,12,-0.16232,0.770638,-0.16232,-0.014907
5,0,16,-0.22123,1.051012,-0.22123,-0.020586
5,0,20,-0.2425,1.15097,-0.2425,-0.025446
7,0,0,0,0,0,0
7,0,2,-0.02034,0.096626,-0.02034,-0.005689
7,0,4,-0.04126,0.196304,-0.04126,-0.009494
7,0,8,-0.08569,0.405816,-0.08569,-0.012451
7,0,12,-0.135,0.63996,-0.135,-0.015559
7,0,16,-0.18896,0.896904,-0.18896,-0.021221
7,0,20,-0.21373,1.013702,-0.21373,-0.025935
9,0,0,0,0,0,0
9,0,2,-0.01584,0.076266,-0.01584,-0.003821
9,0,4,-0.03265,0.15488,-0.03265,-0.006344
9,0,8,-0.06976,0.330634,-0.06976,-0.008724
9,0,12,-0.11306,0.534724,-0.11306,-0.012167
9,0,16,-0.16235,0.77011,-0.16235,-0.017216
9,0,20,-0.16899,0.803676,-0.16899,-0.021156
11,0,0,0,0,0,0
11,0,2,-0.01145,0.05442,-0.01145,-0.001161
11,0,4,-0.02365,0.15802,-0.02365,-0.001711
11,0,8,-0.05033,0.239982,-0.05033,-0.001614
11,0,12,-0.09856,0.437984,-0.09856,-0.00076
11,0,16,-0.12467,0.593628,-0.12467,0.000471
11,0,20,-0.1355,0.64603,-0.1355,0.002692
