Mach,def_deg,Cd_delta
0.3,0,0.38836
0.3,2,0.40541
0.3,4,0.44637
0.3,8,0.50682
0.3,12,0.62499
0.3,16,0.74746
0.5,0,0.38515
0.5,2,0.40142
0.5,4,0.44355
0.5,8,0.52357
0.5,12,0.64221
0.5,16,0.77021
0.8,0,0.42567
0.8,2,0.44187
0.8,4,0.49605
0.8,8,0.60063
0.8,12,0.74065
0.8,16,0.88518
1.2,0,0.74295
1.2,2,0.75288
1.2,4,0.81266
1.2,8,0.90796
1.2,12,1.02676
1.2,16,1.17018
2,0,0.55346
2,2,0.56008
2,4,0.59442
2,8,0.64809
2,12,0.71088
2,16,0.58604
3,0,0.40369
3,2,0.40919
3,4,0.43474
3,8,0.47347
3,12,0.52377
3,16,0.41732
5,0,0.26734
5,2,0.2717
5,4,0.28968
5,8,0.32079
5,12,0.36359
5,16,0.33289
7,0,0.19718
7,2,0.20076
7,4,0.21523
7,8,0.24156
7,12,0.28121
7,16,0.27037
9,0,0.14849
9,2,0.15135
9,4,0.16313
9,8,0.18566
9,12,0.22104
9,16,0.20258
11,0,0.10486
11,2,0.09982
11,4,0.11639
11,8,0.12356
11,12,0.16202
11,16,0.17032
