Mach;alpha_deg;cp_x_m
0.3;0;2.285
0.3;2;2.272
0.3;4;2.26
0.3;8;2.22
0.3;12;2.107
0.3;16;1.979
0.3;20;1.924
0.5;0;2.314
0.5;2;2.299
0.5;4;2.284
0.5;8;2.237
0.5;12;2.116
0.5;16;1.975
0.5;20;1.913
0.8;0;2.372
0.8;2;2.348
0.8;4;2.324
0.8;8;2.261
0.8;12;2.125
0.8;16;1.967
0.8;20;1.907
1.2;0;2.576
1.2;2;2.53
1.2;4;2.485
1.2;8;2.378
1.2;12;2.183
1.2;16;1.971
1.2;20;1.914
2;0;1.719
2;2;1.7
2;4;1.682
2;8;1.605
2;12;1.413
2;16;1.224
2;20;1.185
3;0;1.191
3;2;1.17
3;4;1.151
3;8;1.098
3;12;0.957
3;16;0.881
3;20;0.888
4;0;0.772
4;2;0.784
4;4;0.794
4;8;0.813
4;12;0.74
4;16;0.72
4;20;0.74
5;0;0.474
5;2;0.532
5;4;0.578
5;8;0.664
5;12;0.626
5;16;0.631
5;20;0.663
