Mach,alpha_deg,Cmq,Cnq,Clp
0.3,-20.0,-0.674,0.312,-0.054
0.3,-16.0,-1.03,0.437,-0.083
0.3,-12.0,-1.28,0.525,-0.099
0.3,-8.0,-1.582,0.631,-0.109
0.3,-4.0,-1.771,0.697,-0.107
0.3,-2.0,-1.768,0.696,-0.105
0.3,0.0,-1.737,0.685,-0.104
0.3,2.0,-1.768,0.696,-0.105
0.3,4.0,-1.771,0.697,-0.107
0.3,8.0,-1.582,0.631,-0.109
0.3,12.0,-1.28,0.525,-0.099
0.3,16.0,-1.03,0.437,-0.083
0.3,20.0,-0.674,0.312,-0.054
0.5,-20.0,-0.627,0.286,-0.049
0.5,-16.0,-0.982,0.411,-0.081
0.5,-12.0,-1.26,0.508,-0.099
0.5,-8.0,-1.596,0.626,-0.111
0.5,-4.0,-1.817,0.704,-0.11
0.5,-2.0,-1.822,0.706,-0.109
0.5,0.0,-1.797,0.697,-0.108
0.5,2.0,-1.822,0.706,-0.109
0.5,4.0,-1.817,0.704,-0.11
0.5,8.0,-1.596,0.626,-0.111
0.5,12.0,-1.26,0.508,-0.099
0.5,16.0,-0.982,0.411,-0.081
0.5,20.0,-0.627,0.286,-0.049
0.8,-20.0,-0.814,0.327,-0.053
0.8,-16.0,-1.125,0.436,-0.084
0.8,-12.0,-1.364,0.52,-0.1
0.8,-8.0,-1.672,0.628,-0.111
0.8,-4.0,-1.895,0.706,-0.114
0.8,-2.0,-1.919,0.714,-0.115
0.8,0.0,-1.921,0.715,-0.115
0.8,2.0,-1.919,0.714,-0.115
0.8,4.0,-1.895,0.706,-0.114
0.8,8.0,-1.672,0.628,-0.111
0.8,12.0,-1.364,0.52,-0.1
0.8,16.0,-1.125,0.436,-0.084
0.8,20.0,-0.814,0.327,-0.053
1.2,-20.0,-1.606,0.516,-0.098
1.2,-16.0,-1.828,0.591,-0.117
1.2,-12.0,-1.971,0.639,-0.126
1.2,-8.0,-2.164,0.704,-0.134
1.2,-4.0,-2.345,0.765,-0.139
1.2,-2.0,-2.392,0.78,-0.14
1.2,0.0,-2.417,0.789,-0.14
1.2,2.0,-2.392,0.78,-0.14
1.2,4.0,-2.345,0.765,-0.139
1.2,8.0,-2.164,0.704,-0.134
1.2,12.0,-1.971,0.639,-0.126
1.2,16.0,-1.828,0.591,-0.117
1.2,20.0,-1.606,0.516,-0.098
2.0,-20.0,-1.251,0.433,-0.072
2.0,-16.0,-1.308,0.452,-0.075
2.0,-12.0,-1.354,0.467,-0.077
2.0,-8.0,-1.408,0.485,-0.079
2.0,-4.0,-1.458,0.502,-0.078
2.0,-2.0,-1.464,0.504,-0.077
2.0,0.0,-1.452,0.5,-0.075
2.0,2.0,-1.464,0.504,-0.077
2.0,4.0,-1.458,0.502,-0.078
2.0,8.0,-1.408,0.485,-0.079
2.0,12.0,-1.354,0.467,-0.077
2.0,16.0,-1.308,0.452,-0.075
2.0,20.0,-1.251,0.433,-0.072
3.0,-20.0,-0.944,0.331,-0.048
3.0,-16.0,-0.966,0.338,-0.049
3.0,-12.0,-0.992,0.347,-0.05
3.0,-8.0,-1.021,0.356,-0.05
3.0,-4.0,-1.035,0.361,-0.048
3.0,-2.0,-1.03,0.359,-0.048
3.0,0.0,-1.026,0.358,-0.048
3.0,2.0,-1.03,0.359,-0.048
3.0,4.0,-1.035,0.361,-0.048
3.0,8.0,-1.021,0.356,-0.05
3.0,12.0,-0.992,0.347,-0.05
3.0,16.0,-0.966,0.338,-0.049
3.0,20.0,-0.944,0.331,-0.048
4.0,-20.0,-0.797,0.282,-0.042
4.0,-16.0,-0.821,0.29,-0.042
4.0,-12.0,-0.84,0.296,-0.04
4.0,-8.0,-0.835,0.294,-0.038
4.0,-4.0,-0.809,0.286,-0.036
4.0,-2.0,-0.798,0.282,-0.035
4.0,0.0,-0.789,0.279,-0.035
4.0,2.0,-0.798,0.282,-0.035
4.0,4.0,-0.809,0.286,-0.036
4.0,8.0,-0.835,0.294,-0.038
4.0,12.0,-0.84,0.296,-0.04
4.0,16.0,-0.821,0.29,-0.042
4.0,20.0,-0.797,0.282,-0.042
5.0,-20.0,-0.727,0.258,-0.039
5.0,-16.0,-0.733,0.26,-0.036
5.0,-12.0,-0.726,0.258,-0.035
5.0,-8.0,-0.714,0.254,-0.032
5.0,-4.0,-0.675,0.241,-0.029
5.0,-2.0,-0.657,0.235,-0.028
5.0,0.0,-0.643,0.23,-0.027
5.0,2.0,-0.657,0.235,-0.028
5.0,4.0,-0.675,0.241,-0.029
5.0,8.0,-0.714,0.254,-0.032
5.0,12.0,-0.726,0.258,-0.035
5.0,16.0,-0.733,0.26,-0.036
5.0,20.0,-0.727,0.258,-0.039
